avd,cell_id,n,sum_rv,area_m2,unit_price_per_m2,unit_price_per_km2
2008,1302,1,3450,1000000,0.00345,3450
2008,1304,7,53600,1000000,0.0536,53600
2008,1305,17,155600,1000000,0.1556,155600
2008,1306,1,310000,1000000,0.31,310000
2008,1307,10,53650,1000000,0.05365,53650
2008,1308,20,134725,1000000,0.134725,134725
2008,1312,11,135650,1000000,0.13565,135650
2008,1313,19,187450,1000000,0.18745,187450
2008,1314,37,394100,969666.3951543532,0.4064284396875138,406428.4396875138
2008,1315,84,2177150,1000000,2.17715,2177150
2008,1316,252,10454300,1000000,10.4543,10454300
2008,1317,82,2012250,847925.5162722319,2.3731447649394175,2373144.7649394176
2008,1318,195,12238600,876039.822152108,13.970369486097397,13970369.486097397
2008,1319,90,1313800,999999.9999999404,1.3138000000000782,1313800.0000000782
2008,1320,188,4360100,1000000,4.3601,4360100
2008,1321,157,6412600,1000000,6.4126,6412600
2008,1322,390,29780350,1000000,29.78035,29780350
2008,1323,267,32937200,991774.1765211173,33.21038274613584,33210382.746135846
2008,1324,202,5721150,957799.3783362792,5.973223755832643,5973223.755832643
2008,1325,56,1302200,715981.5991424322,1.8187618251079518,1818761.8251079519
2008,1326,115,1081350,1000000,1.08135,1081350
2008,1327,248,6170925,1000000,6.170925,6170925
2008,1328,125,1336500,1000000,1.3365,1336500
2008,1329,65,4438050,1000000,4.43805,4438050
2008,1330,53,417600,1000000,0.4176,417600
2008,1331,40,851775,1000000.0000000298,0.8517749999999746,851774.9999999746
2008,1332,27,210900,684765.1994751766,0.3079887823762652,307988.78237626515
2008,1333,20,820600,660340.1668504151,1.2426928440745422,1242692.8440745422
